Image sources and licenses:

Image name                  | Author             | License            | Source
-------------------------------------------------------------------------------------------------------------------------
export_pdf.png              | AMAZIGH Aneglus    | GNU/GPL            | http://findicons.com/icon/188108/stock_save_pdf?id=189458#
invariant-view.png          | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
document-open.png           | Silvestre Herrera  | GNU/GPL            | http://art.gnome.org/download/themes/icon/1100/ICON-DroplineNeu.tar.bz2
document-print.png          | Silvestre Herrera  | GNU/GPL            | http://art.gnome.org/download/themes/icon/1100/ICON-DroplineNeu.tar.bz2
save.png                    | Silvestre Herrera  | GNU/GPL            | http://art.gnome.org/download/themes/icon/1100/ICON-DroplineNeu.tar.bz2
undo.png                    | Silvestre Herrera  | GNU/GPL            | http://art.gnome.org/download/themes/icon/1100/ICON-DroplineNeu.tar.bz2
redo.png                    | Silvestre Herrera  | GNU/GPL            | http://art.gnome.org/download/themes/icon/1100/ICON-DroplineNeu.tar.bz2
line-chart.png              | Oxygen Team        | GNU/LGPL           | http://www.iconarchive.com/show/oxygen-icons-by-oxygen-icons.org/Actions-office-chart-line-icon.html 
blue-chart-icon.png         | Double-J Design    | CC Attribution 3.0 | http://www.iconarchive.com/show/origami-colored-pencil-icons-by-double-j-design/blue-chart-icon.html
red-chart-icon.png          | Double-J Design    | CC Attribution 3.0 | http://www.iconarchive.com/show/origami-colored-pencil-icons-by-double-j-design/red-chart-icon.html
shape-align-left-icon.png   | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
shape-align-right-icon.png  | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
shape-align-center-icon.png | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
shape-align-top-icon.png    | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
shape-align-middle-icon.png | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
shape-align-bottom-icon.png | Fatcow Web Hosting | CC Attribution 3.0 | http://www.fatcow.com/free-icons
